,Date,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
197,22-02-2016,3307.35,2311.15,2638.1025,2081.7554,1587.9224,2452.097,5101.36,9209.4678
198,19-02-2016,3260.226,2250.426,2611.6029,2069.7279,1560.4572,2446.2575,5101.36,9253.1527
199,18-02-2016,3260.311,2264.111,2620.3392,2073.5036,1574.455,2445.8818,5101.36,9261.8533
200,17-02-2016,3275.594,2265.794,2588.2398,2073.3829,1542.5511,2445.5061,5128.56,9279.5469
201,16-02-2016,3222.486,2226.286,2586.312,2066.9926,1548.1118,2450.584,5101.36,9311.9914
202,12-02-2016,3170.126,2160.326,2528.172,2053.9332,1495.592,2444.7547,5074.16,9374.4851
203,11-02-2016,3109.436,2113.236,2540.1519,2046.0673,1512.1534,2449.8258,5046.96,9408.5956
204,10-02-2016,3148.162,2138.362,2513.8665,2050.4261,1484.8276,2444.0016,5046.96,9383.4475
205,09-02-2016,3148.757,2125.357,2526.7185,2047.4885,1488.4792,2438.1825,5019.76,9362.6956
206,08-02-2016,3150.848,2141.048,2529.6408,2051.6365,1497.8717,2443.2485,4992.56,9337.8926
207,05-02-2016,3196.085,2199.885,2495.8431,2064.0618,1478.1891,2448.3111,4992.56,9302.6924
208,04-02-2016,3256.265,2246.465,2433.6027,2072.5652,1422.373,2442.4971,4992.56,9271.5909
209,03-02-2016,3251.301,2227.901,2370.0312,2068.5719,1365.491,2436.6865,5019.76,9323.2573
210,02-02-2016,3235.151,2225.351,2435.6223,2069.2281,1424.5099,2441.744,5019.76,9306.7945
211,01-02-2016,3296.946,2273.546,2542.5846,2078.0664,1502.7235,2435.9385,5019.76,9201.3146
212,29-01-2016,3298.408,2288.608,2509.1235,2082.1107,1483.2891,2440.9909,5019.76,9209.8095
213,28-01-2016,3218.712,2222.512,2523.582,2070.5337,1501.8242,2446.0365,4992.56,9261.8159
214,27-01-2016,3201.015,2191.215,2505.7575,2064.0805,1481.176,2440.2378,5019.76,9306.5514
215,26-01-2016,3236.171,2212.771,2478.1716,2067.8086,1452.7843,2434.4425,5019.76,9285.6703
216,25-01-2016,3191.036,2181.236,2497.7097,2062.8633,1475.3484,2439.483,5019.76,9317.9125
217,22-01-2016,3241.73,2245.53,2496.96,2076.397,1481.8288,2444.5201,5019.76,9263.0943
218,21-01-2016,3177.283,2167.483,2493.6246,2060.9134,1472.6607,2438.7299,4992.56,9314.3408
219,20-01-2016,3160.861,2164.661,2508.5268,2061.4914,1491.5545,2443.7602,4992.56,9319.8488
220,19-01-2016,3198.261,2188.461,2525.3721,2065.6683,1498.3953,2437.9751,4992.56,9277.4797
221,15-01-2016,3196.561,2173.161,2545.8894,2062.2921,1508.1516,2432.1951,4992.56,9272.599
222,14-01-2016,3267.128,2168.0185,2542.2786,2072.9001,1498.7676,2426.4202,4992.56,9205.9352
223,13-01-2016,3213.476,2162.876,2522.4039,2059.4735,1476.4755,2420.6504,4978.96,9270.5794
224,12-01-2016,3295.756,2231.556,2509.0623,2072.3663,1459.365,2414.884,4965.36,9179.4594
225,11-01-2016,3270.239,2192.439,2484.1539,2064.3848,1433.0677,2409.1244,4938.16,9201.1973
226,08-01-2016,3267.451,2176.051,2484.3528,2060.8046,1426.7012,2403.3682,4938.16,9206.2565
227,07-01-2016,3303.253,2225.453,2484.4599,2071.5129,1433.8599,2408.3934,4924.56,9148.9665
228,06-01-2016,3383.442,2292.042,2471.6538,2084.0453,1417.1642,2402.644,4910.96,9076.7403
229,05-01-2016,3428.407,2350.607,2484.0468,2096.5539,1434.0809,2407.6641,4910.96,9021.9085
230,04-01-2016,3421.522,2357.322,2479.518,2098.9934,1437.5574,2412.6791,4910.96,9026.3387
231,31-12-2015,3474.698,2396.898,2471.0112,2106.3136,1424.2719,2406.9331,4910.96,8979.2572
232,30-12-2015,3507.712,2443.512,2458.0368,2116.5221,1421.0351,2411.943,4883.76,8930.508
233,29-12-2015,3533.212,2482.612,2424.3462,2125.2737,1401.3321,2416.9478,4883.76,8915.3967
234,28-12-2015,3496.05,2459.05,2440.0746,2121.8244,1420.9008,2421.9492,4910.96,8958.2163
235,24-12-2015,3503.683,2453.083,2412.1062,2120.2978,1392.1385,2416.2083,4883.76,8948.2866
236,23-12-2015,3509.293,2445.093,2414.5389,2113.6321,1387.5383,2410.4708,4883.76,8943.9907
237,22-12-2015,3466.249,2388.449,2404.7163,2106.9664,1373.1937,2404.7401,4883.76,8993.7599
238,21-12-2015,3435.955,2371.755,2443.6548,2104.8329,1411.2261,2409.7347,4910.96,9019.4367
239,18-12-2015,3409.435,2331.635,2403.7983,2096.6321,1372.9948,2404.0091,4938.16,9082.9623
240,17-12-2015,3471.213,2379.813,2421.3933,2105.6846,1380.4561,2398.2869,4938.16,9015.7851
241,16-12-2015,3524.219,2419.219,2412.7488,2113.0337,1367.0465,2392.5698,4910.96,8951.996
242,15-12-2015,3473.797,2355.197,2434.0617,2100.1562,1377.4709,2386.8595,4938.16,9012.3494
243,14-12-2015,3437.298,2305.098,2385.5607,2089.9919,1332.3427,2381.1526,4938.16,9072.7657
244,11-12-2015,3421.029,2302.429,2392.3692,2090.5852,1344.8258,2386.1421,4938.16,9081.6074
245,10-12-2015,3488.791,2383.791,2391.5889,2107.6447,1351.2688,2391.1265,4938.16,9009.7892
246,09-12-2015,3480.954,2362.354,2383.1586,2106.52525,1338.0207,2385.423,4938.16,9023.7768
247,08-12-2015,3508.103,2375.903,2392.7211,2105.4058,1339.0968,2379.7263,4910.96,8977.7663
248,07-12-2015,3531.019,2385.219,2411.1729,2106.8933,1347.2551,2374.0347,4938.16,8966.0142
249,04-12-2015,3555.873,2423.673,2395.674,2102.696,1341.9783,2379.014,4910.96,8926.6711
250,03-12-2015,3484.354,2338.554,2402.5743,2098.4987,1340.9379,2373.3258,4910.96,8997.4999
251,02-12-2015,3535.167,2375.767,2422.9845,2105.4772,1350.6653,2367.6444,4910.96,8939.9481
252,01-12-2015,3574.471,2401.471,2408.526,2110.2032,1332.6113,2361.9664,4910.96,8909.5028
253,30-11-2015,3536.697,2350.097,2393.3637,2099.7584,1332.80425,2356.2935,4910.96,8956.4636
254,27-11-2015,3553.187,2380.187,2408.3424,2106.7981,1332.9972,2361.2677,4883.76,8911.8488
255,25-11-2015,3551.079,2391.679,2417.3694,2110.1743,1347.2585,2366.2368,4910.96,8922.4925
256,24-11-2015,3551.538,2378.538,2424.897,2107.2571,1346.7264,2360.5673,4910.96,8921.0356
257,23-11-2015,3547.203,2360.603,2413.269,2103.3947,1330.9232,2354.9046,4910.96,8932.9866
